item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM_8546ECFC,ORD_EE1AF37F,PROD_3E6A998C,7,760.92,44.41
ITEM_887B0465,ORD_26275114,PROD_8F75D8D5,8,717.68,55.25
ITEM_A86F18E0,ORD_FE38C199,PROD_BA941827,7,249.54,87.31
ITEM_BBAE3396,ORD_E3A1F642,PROD_6425438D,3,908.53,83.79
ITEM_C57B33A7,ORD_64A4BE8B,PROD_26B17524,1,46.04,19.21
ITEM_FCD85862,ORD_F8138744,PROD_09862CCF,3,740.04,27.87
ITEM_DA5B20A9,ORD_2A75EA11,PROD_BD67DC0B,4,309.95,69.98
ITEM_538A3DEB,ORD_402E1333,PROD_B8D8AE21,6,305.02,58.45
ITEM_403B170C,ORD_CA4BDD4A,PROD_7E64E098,1,26.03,69.96
ITEM_3FCA6071,ORD_DDF3B4EF,PROD_5A1C390A,2,41.32,12.72
ITEM_54DE5D32,ORD_2869C263,PROD_4AE93BCD,2,869.31,29.18
ITEM_55EACF30,ORD_C8AE146A,PROD_77FF94C9,4,204.77,63.56
ITEM_552714E4,ORD_E1473EB8,PROD_C3BCA5F3,9,167.11,80.46
ITEM_8817941E,ORD_3CDFBDE1,PROD_819851A7,3,781.9,22.05
ITEM_C404FA65,ORD_0C18BB41,PROD_641BE87C,2,214.37,96.6
ITEM_29264841,ORD_FD43A637,PROD_CCE42FDB,10,581.72,70.21
ITEM_97D9F102,ORD_2A46BB02,PROD_C8008ECC,5,493.74,71.29
ITEM_7A339394,ORD_7DCB0F49,PROD_71A2555D,5,925.56,3.62
ITEM_5F3A8871,ORD_DFA53228,PROD_352AA40F,9,844.33,40.96
ITEM_E1A9D97D,ORD_A9573468,PROD_CCE42FDB,7,131.68,73.79
ITEM_5EB4A87C,ORD_A576F90A,PROD_64AA117B,4,977.96,14.59
ITEM_E042AB02,ORD_AC695525,PROD_DF61D4BC,3,245.72,62.45
ITEM_62CFBEFC,ORD_BB204870,PROD_8BD479BE,1,128.78,79.28
ITEM_7050A9DB,ORD_E3AA4A41,PROD_63AF3FD2,1,850.37,64.55
ITEM_75100FE9,ORD_590B6716,PROD_0DFB636E,10,704.86,21.45
ITEM_A5E36C1A,ORD_973A395A,PROD_42160890,3,338.37,29.86
ITEM_5575C5E9,ORD_E4607679,PROD_09862CCF,4,418.22,21.56
ITEM_8FE933CA,ORD_2B783FF3,PROD_81F41066,4,613.93,70.61
ITEM_7C61F8AC,ORD_1A20B548,PROD_2395ABBD,10,757.47,80.51
ITEM_FDE8A8A6,ORD_34F78158,PROD_5DE8F93B,1,390.88,59.62
ITEM_1B0AD87F,ORD_50F73C93,PROD_FF52C6CD,1,489.31,41.49
ITEM_6C8BA2D5,ORD_3AA9ABE8,PROD_25CC4B61,1,398.69,17.7
ITEM_69340E8E,ORD_1D89E572,PROD_4919EDB1,8,108.91,75.79
ITEM_CD888636,ORD_1D45D28E,PROD_8922F2C0,3,14.01,36.35
ITEM_656A8422,ORD_5C0E313E,PROD_5B28F3D1,5,333.07,36.76
ITEM_0AB5EBEF,ORD_F261035E,PROD_09F427D3,5,940.38,90.42
ITEM_298E173E,ORD_97E2FCE3,PROD_99DBD9B0,1,65.51,99.04
ITEM_D5FFF6AA,ORD_3AF42F24,PROD_5F5B5AB3,8,257.22,64.65
ITEM_00AE5220,ORD_B230D7DF,PROD_A7DF2977,1,113.98,40.75
ITEM_81F687D0,ORD_F1615071,PROD_800112F9,7,57.32,60.97
ITEM_C1DE3FF0,ORD_FF367430,PROD_B083B49A,9,835.48,3.09
ITEM_E814F605,ORD_C21C94F9,PROD_A1EA1636,5,959.32,86.47
ITEM_C7432678,ORD_9621CFED,PROD_3341B4D8,2,453.57,63.28
ITEM_9ED4DA27,ORD_D2CF3670,PROD_53C13013,8,389.36,14.38
ITEM_8E570DFC,ORD_2601C675,PROD_DCA59AB9,5,61.76,50.18
ITEM_DDAC772E,ORD_99577DD7,PROD_E11B29EB,2,558.19,15.52
ITEM_81F7BCF4,ORD_0BEECE93,PROD_0260B3FC,-6,28.64,19.4
ITEM_C8D5DD69,ORD_2EBB0685,PROD_31B9986D,8,811.36,94.73
ITEM_AE5E5AB4,ORD_7738E505,PROD_3F54DC57,4,239.6,9.7
ITEM_8157F330,ORD_8356639E,PROD_90775A57,3,414.4,27.47
ITEM_C625B88A,ORD_FA3FDFB8,PROD_2469BB89,5,177.34,98.87
ITEM_B8A3983D,ORD_407258D6,PROD_B2C7168D,8,331.9,16.08
ITEM_1CBF39AF,ORD_86FA6D65,PROD_7EFF81CD,1,477.93,43.9
ITEM_2C0A5442,ORD_BC1CBE51,PROD_FEF9F26F,4,297.39,92.96
ITEM_B212E23D,ORD_BACD3235,PROD_DA3FB4A0,3,926.54,56.82
ITEM_201A7292,ORD_D4F41442,PROD_41289F6F,1,897.92,77.5
ITEM_A6B9106C,ORD_81ABD008,PROD_EA9A5B69,5,458.23,19.01
ITEM_7DE4F13B,ORD_A46BE2B0,PROD_CB3DFB30,10,84.19,62.33
ITEM_CA07C5F8,ORD_5AE2BF11,PROD_EF1E90E8,7,962.7,34.57
ITEM_0554656A,ORD_966F2E40,PROD_CDA38F06,5,490.69,55.4
ITEM_37330427,ORD_4A4224A8,PROD_8922F2C0,1,125.67,92.49
ITEM_08BD67EB,ORD_5D9B3360,PROD_BABE193C,6,994.0,42.12
ITEM_0AFA6D7A,ORD_A0A05F83,PROD_70BE0105,6,650.66,77.46
ITEM_D343C8D5,ORD_EB866A2D,PROD_6E13B1C5,3,872.83,42.51
ITEM_1D67B426,ORD_84999017,PROD_ADD17A0F,10,237.11,20.99
ITEM_F72F98B1,ORD_127DA4AF,PROD_ED972053,10,535.01,70.29
ITEM_0DEF96DC,ORD_24676ACA,PROD_3437F4E2,3,755.36,47.55
ITEM_40D38637,ORD_88667722,PROD_419E71A0,6,194.92,31.56
ITEM_4FB5761B,ORD_6DBE1E33,PROD_AF8C074C,6,511.46,95.44
ITEM_7BA0F7ED,ORD_9FBF2DAD,PROD_ADD17A0F,3,164.12,26.21
ITEM_B6B0E9B4,ORD_3B65F444,PROD_1DF77795,7,626.69,64.08
ITEM_37408B4B,ORD_81D568EF,PROD_A08E3CCB,6,649.46,7.94
ITEM_36F81886,ORD_26A9DC4B,PROD_B1EE175A,4,22.65,98.71
ITEM_C6CAEA5E,ORD_F02BC5AD,PROD_73AFF189,5,152.86,10.22
ITEM_E20E5387,ORD_27A62278,PROD_2DD2E57A,4,670.28,80.41
ITEM_4F32BB3E,ORD_1AA5DBB7,PROD_D50ECB81,10,604.59,4.52
ITEM_AE49A5AB,ORD_40613F61,PROD_44EA40E8,5,584.04,63.43
ITEM_A1EB7A92,ORD_DBF49317,PROD_3F0C7830,5,941.35,85.57
ITEM_A4C023BF,ORD_1B0BD9FC,PROD_6F3C97D8,5,56.72,76.1
ITEM_6F1EC405,ORD_C60B5224,PROD_5E26683F,9,319.71,52.09
ITEM_191F107B,ORD_0926D318,PROD_2A5551AC,9,291.61,57.15
ITEM_90459C69,ORD_2E48180F,PROD_966F2840,4,533.49,15.91
ITEM_82214FA4,ORD_D52392FF,PROD_4330ECFB,4,478.4,36.2
ITEM_A8820CA5,ORD_5AFC5CE7,PROD_4ADBBD81,3,815.87,63.35
ITEM_4FEB6231,ORD_966F2E40,PROD_F46A5367,9,645.22,5.16
ITEM_F404D69B,ORD_70410752,PROD_7B8F2D4D,9,860.48,86.07
ITEM_B9C910C2,ORD_9FBF2DAD,PROD_3EA81F09,4,386.26,60.98
ITEM_7F7EB30E,ORD_04C21A3A,PROD_8E03CD78,8,271.57,85.55
ITEM_E8E5CCBA,ORD_D6C1ABDC,PROD_5B28F3D1,2,267.59,94.34
ITEM_AE88DD60,ORD_475B545C,PROD_4ED95DC9,-1,447.5,90.13
ITEM_68CA08D6,ORD_83DC2C72,PROD_A577BEAB,1,559.4,66.37
ITEM_E7C33D48,ORD_9CF1E4BD,PROD_F46A5367,3,298.22,8.94
ITEM_1402327A,ORD_34F78158,PROD_5F5B5AB3,9,888.57,70.45
ITEM_25EFB2D0,ORD_51964A4D,PROD_1F8CD2C2,9,784.47,2.85
ITEM_EF096AD9,ORD_D5826B20,PROD_D902B4C8,10,486.54,80.09
ITEM_96BBE21F,ORD_6E979599,PROD_7BB75F03,1,704.01,11.29
ITEM_81D41F0C,ORD_16308D3F,PROD_53ECB055,6,85.56,62.94
ITEM_8EAF7D29,ORD_25BA0E48,PROD_D143592E,5,98.65,93.9
ITEM_B11712C3,ORD_CC4CEE4A,PROD_E0EED6AC,3,781.47,93.0
ITEM_A52C87B7,ORD_B3806108,PROD_A77A1CC2,3,948.77,72.34
ITEM_BE639994,ORD_82D8BB6F,PROD_502E6868,4,860.13,14.98
ITEM_5E80A33F,ORD_38444CB9,PROD_F3E1B1D7,2,707.32,10.55
ITEM_EC1ED592,ORD_F4990F0A,PROD_EF1E90E8,7,906.22,98.45
ITEM_1F7D4CED,ORD_C46F96DF,PROD_6A376C35,6,751.32,77.81
ITEM_5F864922,ORD_4239D6E1,PROD_56D44948,3,358.3,93.03
ITEM_A74B9948,ORD_C76B0EEC,PROD_85EE70C4,9,611.41,69.06
ITEM_6F62B38A,ORD_0B439517,PROD_9379C793,3,630.04,27.67
ITEM_D18D87C3,ORD_BD75F5BC,PROD_BABE193C,2,975.31,87.87
ITEM_81EE1B6A,ORD_B2F6C3AE,PROD_C5B68ABC,10,426.65,98.1
ITEM_8A638580,ORD_87C87B76,PROD_0264C968,10,229.24,6.02
ITEM_9B0A5336,ORD_D0CC45B4,PROD_C76DE9B8,7,767.76,20.55
ITEM_BFC19124,ORD_37B1DAEA,PROD_EBE833B4,1,551.25,78.65
ITEM_9A2323FA,ORD_12ABBC91,PROD_C59B9490,-8,156.5,58.56
ITEM_B089C08A,ORD_66C7D586,PROD_B6945E69,1,572.54,40.48
ITEM_AFCD29AE,ORD_61BA50DC,PROD_B8F9633E,10,120.52,57.56
ITEM_37EFCA4F,ORD_344D752A,PROD_5D60C409,1,935.74,79.5
ITEM_A08CC516,ORD_39172A8A,PROD_65729DA1,3,157.55,22.63
ITEM_814900B4,ORD_4239D6E1,PROD_D13C2258,9,58.85,22.53
ITEM_D749A290,ORD_51964A4D,PROD_56D44948,9,790.45,94.75
ITEM_C1C4094F,ORD_34A5F057,PROD_028F0580,6,31.3,51.22
ITEM_4BE8A5C5,ORD_EA96B564,PROD_D3EA66E9,1,720.72,0.66
ITEM_6A0008A8,ORD_4455739C,PROD_4DE71A6D,8,930.76,48.02
ITEM_BF51A9A7,ORD_FCBBE098,PROD_910C90C7,2,614.84,33.69
ITEM_3F4E792E,ORD_4DE27EBD,PROD_6DAD2308,8,792.23,36.83
ITEM_A9EF6CE0,ORD_D80EFC0E,PROD_DCA59AB9,-5,246.44,40.81
ITEM_E58632A6,ORD_AEA3087A,PROD_94D8C401,-9,72.9,80.59
ITEM_1A872EB7,ORD_123D4914,PROD_662FE004,2,775.76,45.88
ITEM_6E146235,ORD_0161CFAC,PROD_810D360D,10,747.6,83.32
ITEM_F5B67F5F,ORD_402E1333,PROD_B73BBC87,8,718.84,44.52
ITEM_BEAFCA53,ORD_CBEE35AA,PROD_4DE71A6D,4,377.43,66.61
ITEM_6A73EDC1,ORD_7A7D9AF2,PROD_30E741D2,5,608.54,7.26
ITEM_7B1FFE77,ORD_C0257D53,PROD_A2F626A6,9,89.87,79.79
ITEM_4783E702,ORD_FEDEC913,PROD_307E7A10,9,792.23,5.66
ITEM_16548208,ORD_A0A05F83,PROD_B6232DFF,5,662.7,72.01
ITEM_8C846A1A,ORD_76F6F8B3,PROD_79D2A1C5,1,315.07,81.63
ITEM_BC617609,ORD_46C7FB57,PROD_AF8C074C,5,326.5,55.69
ITEM_184A05EA,ORD_C4D322C7,PROD_3AC9F6F8,10,181.21,44.65
ITEM_F3F561D8,ORD_2AFB8BE0,PROD_04E6B7BD,6,871.54,95.08
ITEM_2F43BB7F,ORD_46DD6486,PROD_B4621B7C,4,964.03,64.92
ITEM_FF91AD6F,ORD_AB8A5C2E,PROD_145FB06E,-10,18.49,5.25
ITEM_32E49924,ORD_27BABB84,PROD_BD391552,3,274.45,31.25
ITEM_17A4BA2C,ORD_6BC6473C,PROD_65729DA1,1,950.92,49.43
ITEM_0EABE937,ORD_64C3F147,PROD_02B82593,9,558.93,19.97
ITEM_8B39899A,ORD_4727FCD0,PROD_85BEB072,5,497.99,72.19
ITEM_570C0C5B,ORD_5C759909,PROD_B8096350,7,535.44,40.05
ITEM_408F063A,ORD_B92D43EA,PROD_A3CC8F9E,9,341.3,23.63
ITEM_44C33A2E,ORD_0EFAAA9E,PROD_9E0151CA,8,339.22,51.14
ITEM_86D240CD,ORD_8109A9B2,PROD_EE093081,5,900.25,11.31
ITEM_87DBD857,ORD_8190761F,PROD_54E040EA,9,278.58,50.96
ITEM_B124F57F,ORD_C4CEA668,PROD_A3B0A16A,6,99.67,13.73
ITEM_96E18EE5,ORD_48051218,PROD_E6E1DBA7,5,657.55,7.84
ITEM_502BCB42,ORD_408B3C78,PROD_CA5BEE77,4,456.31,76.84
ITEM_9E282664,ORD_2CAED911,PROD_02B82593,3,149.92,82.4
ITEM_F70EAA64,ORD_1A20B548,PROD_32761E2D,8,398.32,16.97
ITEM_4BDCB3D4,ORD_EA211F8A,PROD_028F0580,9,351.99,95.49
ITEM_38AA5FBE,ORD_613B73AC,PROD_412F26F7,3,21.23,54.13
ITEM_980C4026,ORD_8D739757,PROD_3341B4D8,2,405.14,59.15
ITEM_835C4D70,ORD_05CD2C01,PROD_DE8689AD,6,988.28,99.25
ITEM_B4733D57,ORD_C954EF49,PROD_BD67DC0B,8,582.39,75.42
ITEM_8AE3A94F,ORD_7F131E15,PROD_00A480A5,9,444.92,77.99
ITEM_0A43F65E,ORD_370F66C9,PROD_A0187241,4,993.51,77.0
ITEM_D1CB3615,ORD_E4BFA7A7,PROD_7DF382C7,1,812.88,43.83
ITEM_6E0412BA,ORD_5939598D,PROD_F10313C9,5,128.08,1.33
ITEM_EC7F2461,ORD_8290AC2C,PROD_7DFA013E,7,602.16,12.85
ITEM_F6162B60,ORD_ACCB92BD,PROD_FE9B227F,5,799.76,13.44
ITEM_6265ED93,ORD_24D5429B,PROD_FEF9F26F,10,803.89,16.92
ITEM_38605770,ORD_B1E4DA2C,PROD_C5B68ABC,8,752.41,28.79
ITEM_D354CCD4,ORD_84A78AB4,PROD_5F25611E,5,901.9,55.87
ITEM_C2D323AE,ORD_85A43CD8,PROD_F3E1B1D7,7,508.03,50.89
ITEM_DA5228F1,ORD_85B9A87E,PROD_31B9986D,8,55.11,73.93
ITEM_80245317,ORD_8109A9B2,PROD_1A3496AE,2,168.9,15.7
ITEM_363E5C90,ORD_1915B76C,PROD_FC1D5B6F,5,218.73,50.71
ITEM_26E1F982,ORD_F2CB38A7,PROD_CBA08635,7,329.71,97.15
ITEM_C5E5BD07,ORD_F9BF08B6,PROD_EF13F86E,6,722.67,17.53
ITEM_022C3522,ORD_3079F90F,PROD_B083B49A,6,221.17,6.81
ITEM_2FE0AA20,ORD_79561FF7,PROD_5F5B5AB3,9,660.14,12.27
ITEM_877C73E5,ORD_5E7CCFE0,PROD_CDA38F06,7,29.81,62.92
ITEM_81A4668A,ORD_0943A32C,PROD_5B28F3D1,8,67.95,34.4
ITEM_8F0A052C,ORD_E690CFD8,PROD_EE423D5B,10,189.08,23.46
ITEM_AF53145D,ORD_D4F7BD6D,PROD_EF13F86E,2,473.14,68.38
ITEM_F6F6AD8A,ORD_2CAD085F,PROD_BD313EFE,1,298.85,12.31
ITEM_E94E5AFC,ORD_5C6F906B,PROD_659C100C,7,538.27,99.91
ITEM_A9ECA600,ORD_FB95FDCF,PROD_58EB7C60,1,892.61,82.47
ITEM_92648CA5,ORD_A5CC1A77,PROD_E76A8852,1,18.81,74.79
ITEM_8EF02015,ORD_4C870C77,PROD_13DD0411,1,409.46,69.44
ITEM_C73E0C23,ORD_FCC6FC5F,PROD_A08E3CCB,9,361.25,97.56
ITEM_707D7811,ORD_E63B2B68,PROD_3987DBF1,8,391.1,47.78
ITEM_3B23F16D,ORD_64A4BE8B,PROD_66444CDD,3,128.09,24.45
ITEM_3698BCA6,ORD_85AA7DA4,PROD_0D950DDD,4,680.37,99.69
