product_id,product_name,category,subcategory,cost_price
PROD_08C779C1,Laptops Pro,Electronics,Laptops,58.33
PROD_8F75D8D5,Lighting Pro,Home,Lighting,331.25
PROD_FCBBBBFE,Kids Lite,Clothing,Kids,476.42
PROD_E8B91FE8,Comics Basic,Books,Comics,88.89
PROD_780BCFCE,Furniture Model X,Home,Furniture,242.33
PROD_41679569,Non-Fiction Pro,Books,Non-Fiction,209.19
PROD_E9EB923C,Kids Ultra,Clothing,Kids,310.35
PROD_DAABADAA,Non-Fiction Advanced,Books,Non-Fiction,253.34
PROD_2478345F,Kids Pro,Clothing,Kids,331.0
PROD_9379C793,Kids Ultra,Clothing,Kids,203.02
PROD_D0064CBB,Activewear Lite,Clothing,Activewear,498.54
PROD_A91E3AAE,Non-Fiction Model X,Books,Non-Fiction,153.75
PROD_D6F265EE,Men Basic,Clothing,Men,398.06
PROD_E540D412,Cameras Basic,Electronics,Cameras,291.23
PROD_0D950DDD,Non-Fiction Max,Books,Non-Fiction,373.21
PROD_53C13013,Furniture Basic,Home,Furniture,144.4
PROD_698D70F8,Cameras Ultra,Electronics,Cameras,478.46
PROD_A3DA82AF,Phones Ultra,Electronics,Phones,425.08
PROD_2F8F8A54,Women Advanced,Clothing,Women,22.47
PROD_F5EFBE78,Educational Advanced,Books,Educational,36.25
PROD_E5955AC8,Comics Model X,Books,Comics,490.4
PROD_186B5CB5,Cameras Advanced,Electronics,Cameras,82.14
PROD_7DFA013E,Kitchen Max,Home,Kitchen,472.13
PROD_F00320E7,Fiction Max,Books,Fiction,117.87
PROD_17B6F669,Non-Fiction Pro,Books,Non-Fiction,177.85
PROD_30861756,Activewear Basic,Clothing,Activewear,445.5
PROD_CAA55C8C,Biography Model X,Books,Biography,159.89
PROD_156C8828,Men Lite,Clothing,Men,124.17
PROD_EB3A37BB,Women Ultra,Clothing,Women,250.89
PROD_C3BCA5F3,Men Lite,Clothing,Men,273.12
PROD_BABDE39F,Fiction Lite,Books,Fiction,451.1
PROD_BC458F72,Women Max,Clothing,Women,419.11
PROD_66B932A9,Kitchen Ultra,Home,Kitchen,429.21
PROD_3ED8A65B,Bedding Pro,Home,Bedding,296.04
PROD_3212DE70,Cameras Ultra,Electronics,Cameras,438.43
PROD_A3CC8F9E,Bedding Pro,Home,Bedding,164.74
PROD_94D8C401,Laptops Ultra,Electronics,Laptops,313.01
PROD_1D9C4F4A,Laptops Basic,Electronics,Laptops,150.91
PROD_4B97E71E,Shoes Max,Clothing,Shoes,370.9
PROD_A619431A,Comics Ultra,Books,Comics,132.1
PROD_3976AF76,Phones Basic,Electronics,Phones,306.57
PROD_0B8B75BB,Women Model X,Clothing,Women,490.69
PROD_0264C968,Women Lite,Clothing,Women,7.33
PROD_9E0151CA,Women Lite,Clothing,Women,383.65
PROD_85BD09E4,Shoes Lite,Clothing,Shoes,45.01
PROD_09862CCF,Educational Ultra,Books,Educational,132.38
PROD_5A1C390A,Kids Pro,Clothing,Kids,269.78
PROD_CDA38F06,Comics Lite,Books,Comics,160.95
PROD_E8157CC3,Cameras Max,Electronics,Cameras,398.81
PROD_B47DD889,Cameras Pro,Electronics,Cameras,285.99
PROD_851FA18D,Activewear Advanced,Clothing,Activewear,383.42
PROD_02EA6A39,Phones Model X,Electronics,Phones,58.94
PROD_7BB75F03,Kitchen Basic,Home,Kitchen,351.33
PROD_B442C294,Women Lite,Clothing,Women,363.38
PROD_13D417E1,Non-Fiction Pro,Books,Non-Fiction,171.93
PROD_ED972053,Laptops Model X,Electronics,Laptops,483.6
PROD_CAEDBCB0,Men Model X,Clothing,Men,215.8
PROD_3BCF62C6,Kitchen Model X,Home,Kitchen,224.27
PROD_AF413F60,Kitchen Lite,Home,Kitchen,464.5
PROD_D3EA66E9,Fiction Ultra,Books,Fiction,139.57
PROD_0260B3FC,Decor Ultra,Home,Decor,158.28
PROD_437B8629,Decor Basic,Home,Decor,162.31
PROD_8D828B38,Women Basic,Clothing,Women,480.1
PROD_CFA8532E,Phones Lite,Electronics,Phones,109.48
PROD_2FA76A08,Tablets Pro,Electronics,Tablets,244.9
PROD_E2193E1F,Laptops Model X,Electronics,Laptops,393.26
PROD_C3EF376E,Shoes Ultra,Clothing,Shoes,411.6
PROD_4AE93BCD,Women Ultra,Clothing,Women,464.15
PROD_5AD59932,Tablets Lite,Electronics,Tablets,25.41
PROD_3987DBF1,Lighting Model X,Home,Lighting,319.07
PROD_B2C953D7,Women Max,Clothing,Women,315.58
