item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM_4EBE3C82,ORD_29110635,PROD_FE96DD1A,7,988.07,22.58
ITEM_2F141783,ORD_C390E0BA,PROD_D9F7E635,3,896.28,18.83
ITEM_24E22071,ORD_FF8F5344,PROD_C24D3088,2,916.69,69.49
ITEM_64F36DB7,ORD_C53F62CB,PROD_837B77C2,7,217.15,63.82
ITEM_EA53FDFF,ORD_0A276E54,PROD_211B8BCC,-1,302.83,20.71
ITEM_AB24F396,ORD_2B86C402,PROD_7DA0C31E,2,951.5,42.19
ITEM_D42AB34F,ORD_61681272,PROD_A0E83676,1,307.21,38.77
ITEM_C8F30ED4,ORD_F529B035,PROD_0C647B98,7,920.36,63.52
ITEM_EF4E481E,ORD_05348F7D,PROD_C0CD1A0A,8,504.99,35.15
ITEM_6DCC635B,ORD_CB090281,PROD_507ECB1B,7,772.09,42.27
ITEM_CAE7F6A3,ORD_D488B8B6,PROD_FE96DD1A,8,386.17,96.28
ITEM_A45D36FA,ORD_042C8BD7,PROD_A8B7D69E,8,101.13,24.54
ITEM_7088EA40,ORD_1B5E40D5,PROD_1B38A63E,8,344.01,60.36
ITEM_5A1ABDD0,ORD_97054266,PROD_744672F8,6,779.39,85.46
ITEM_B75006C9,ORD_00E9CB6A,PROD_BC18ECF7,-2,137.1,86.27
ITEM_BEF3AE9C,ORD_7977410C,PROD_072FC7A4,9,507.05,46.32
ITEM_ACE302FD,ORD_0A8E798D,PROD_58626E3F,9,58.23,58.57
ITEM_3DC63FC0,ORD_ACEC4352,PROD_92EFAC12,8,457.21,85.36
ITEM_F8BD218C,ORD_C577920C,PROD_917BB737,10,118.58,15.48
ITEM_4BE52FA9,ORD_DD27532B,PROD_2A88DC13,4,256.55,38.73
ITEM_106176D5,ORD_B0607EA5,PROD_62BD0617,7,190.85,34.01
ITEM_4CBEF536,ORD_CDF385D7,PROD_AB82D542,4,810.33,94.8
ITEM_CD9AC655,ORD_540105E5,PROD_457AF5CC,3,742.95,94.67
ITEM_A7E441A5,ORD_33FC8E30,PROD_B1977EB0,8,796.39,43.0
ITEM_FC3284BB,ORD_BF44CCAA,PROD_094E5AE4,6,115.26,47.37
ITEM_14B4F129,ORD_B919D02C,PROD_4C5C62B2,9,76.27,8.72
ITEM_00209870,ORD_DC239E07,PROD_058A807A,8,920.08,90.66
ITEM_EBC48374,ORD_ED0B2593,PROD_4FBD7295,-2,95.51,18.68
ITEM_117C9DD6,ORD_7EF84179,PROD_FFE7382A,9,270.38,6.68
ITEM_C10EDA74,ORD_0A447812,PROD_CDAFEAE0,10,564.07,23.22
ITEM_824CC1B7,ORD_C3D858CF,PROD_5C2B1428,3,396.8,37.19
ITEM_6255E081,ORD_4DBE9F52,PROD_9E56B5E0,2,273.23,53.05
ITEM_B937FF85,ORD_EE6285AF,PROD_4FBD7295,6,861.98,80.12
ITEM_4E84F7C9,ORD_BB733E9F,PROD_7A6144B0,8,108.06,38.79
ITEM_3A1C3C7E,ORD_196B22CA,PROD_90F90A22,3,859.27,14.54
ITEM_EB69F010,ORD_996DFCD7,PROD_64C2FC90,8,987.49,56.62
ITEM_20B22ED1,ORD_4F2C5D44,PROD_883CD682,6,829.7,40.64
ITEM_65448AA2,ORD_D6832AFB,PROD_AAE0F9EA,1,782.83,2.77
ITEM_FA5B0A61,ORD_D797755D,PROD_55C571AF,7,838.01,22.47
ITEM_3E729578,ORD_7AD2765B,PROD_1D9D66E2,8,792.56,88.87
ITEM_4ED2AEE9,ORD_FD589796,PROD_B08B89BA,4,294.75,77.31
ITEM_9AFB2D73,ORD_AEDA7979,PROD_F4D8134F,7,93.99,89.17
ITEM_C0E4FC09,ORD_91BEA7DD,PROD_EE2796B4,6,288.03,65.02
ITEM_C6AB1808,ORD_681E92D5,PROD_E41A495A,5,609.24,91.93
ITEM_C9B2EC8B,ORD_FAC83655,PROD_B18FEA0A,9,759.84,83.95
ITEM_27B42FC3,ORD_D5382CF4,PROD_4FBD7295,8,694.51,97.52
ITEM_A44FC69F,ORD_F79E47CB,PROD_92EFAC12,10,259.08,26.82
ITEM_B07AFCE5,ORD_3BDB3342,PROD_297C4E87,10,319.92,90.58
ITEM_4372C3DD,ORD_8F6C92EB,PROD_762D8BA0,10,972.62,19.18
ITEM_C39817DA,ORD_65A131C4,PROD_27DEE735,7,601.78,66.97
ITEM_4F906D6D,ORD_95F529DC,PROD_80E468F8,5,689.12,71.26
ITEM_981FA3FC,ORD_7FFA855C,PROD_8FDA8D3B,4,585.93,17.34
ITEM_455CF734,ORD_DC0D77DD,PROD_9295D57C,4,792.05,83.04
ITEM_B02D8BAD,ORD_5ED1E65F,PROD_A60ABFF5,6,489.5,27.07
ITEM_C369762E,ORD_A49C52BE,PROD_429D85FE,9,262.18,7.21
ITEM_002771F7,ORD_282FB695,PROD_C0B9998A,9,13.23,18.89
ITEM_398609CE,ORD_45C50F88,PROD_1C67E729,8,990.95,58.36
ITEM_59C67643,ORD_4CE9C2F4,PROD_177DF6C1,10,273.04,98.16
ITEM_EC0F2DC8,ORD_EEABB019,PROD_D9F42F71,10,442.8,31.31
ITEM_C3E434CF,ORD_43987A54,PROD_7B3B82D1,2,803.29,5.45
ITEM_A2C293B9,ORD_138BE2C1,PROD_5CA4596A,5,539.87,12.74
ITEM_D32A7D72,ORD_0F4B9EDF,PROD_02A908BB,4,663.69,5.99
ITEM_CC677314,ORD_6B98A6E7,PROD_976AE4E4,10,291.35,24.07
ITEM_3648D319,ORD_39BE2B08,PROD_1F8E3EAA,9,244.0,2.3
ITEM_0FE87BF3,ORD_7361EE5D,PROD_246412F4,4,966.74,38.33
