order_id,customer_id,order_date,status,region_code
ORD_FF8F5344,CUST_8E9D0EE3,2026-06-12 14:12:18,DELIVERED,EAST
ORD_11F8C8BE,CUST_59B17BB3,12-01-2025 17:01:48,DELIVERED,NORTH
ORD_78054E62,CUST_3BD21624,10-02-2024 14:29:02,DELIVERED,EAST
ORD_40893D1E,CUST_635E7F3B,2022-10-03 09:45:24,SHIPPED,WEST
ORD_56E9998B,CUST_FA2F3F93,2025-03-17 15:30:35,DELIVERED,WEST
ORD_439D1371,CUST_427BA43E,2024-02-13 19:43:22,DELIVERED,NORTH
ORD_E60CE9A0,CUST_F639AFDF,2022-09-20 11:22:51,PLACED,EAST
ORD_085F5EFA,CUST_AC3CCDC2,08-12-2023 11:26:22,DELIVERED,SOUTH
ORD_783CBE8A,CUST_931305E3,2025-11-10 02:55:19,SHIPPED,CENTRAL
ORD_3B269392,,2025-09-09 13:36:32,DELIVERED,WEST
ORD_86F0C1C6,CUST_143681FD,2024-02-13 18:24:20,CANCELLED,NORTH
ORD_0A8460CB,CUST_E77BA6BB,2024-10-26 21:21:10,DELIVERED,WEST
ORD_581A08D0,CUST_96C6EF35,2026-06-01 02:53:54,DELIVERED,NORTH
ORD_8CC6B7D2,CUST_185AB40B,2024-04-03 07:39:47,DELIVERED,CENTRAL
ORD_5CB87BAA,CUST_27F24EDC,2023-07-14 02:36:51,DELIVERED,EAST
ORD_591807C1,CUST_6A8A8C72,2023-09-11 16:51:19,DELIVERED,SOUTH
ORD_55F55753,CUST_072591C0,2025-07-03 16:29:42,SHIPPED,NORTH
ORD_0768CE8E,CUST_56419F34,2025-03-27 15:13:42,DELIVERED,WEST
ORD_41BA6489,CUST_5FAF5DC3,2024-12-27 19:54:49,RETURNED,NORTH
ORD_A5CA7782,CUST_8226E9FF,2024-08-05 04:15:09,DELIVERED,WEST
ORD_3B4ADB5D,CUST_F2D3D288,2022-05-12 20:13:54,CANCELLED,SOUTH
ORD_1A033353,CUST_8B1D0071,2023-04-29 12:15:07,PLACED,EAST
ORD_54F11D1E,CUST_99C6391E,12-06-2024 13:41:57,SHIPPED,SOUTH
ORD_AD7C218C,CUST_86487535,2026-07-04 08:42:35,CANCELLED,WEST
ORD_75BD5C55,CUST_E1527B2C,2022-06-21 10:38:19,RETURNED,WEST
ORD_CE8048E8,CUST_E1448B89,2022-07-04 12:53:46,DELIVERED,CENTRAL
ORD_A384BFE5,CUST_916A0505,2024-12-04 21:53:37,RETURNED,EAST
ORD_2E6F0A6E,CUST_F0B7A2D5,2023-05-03 19:07:49,DELIVERED,CENTRAL
ORD_5FE84CE8,CUST_E634FFB4,2026-03-04 07:59:27,SHIPPED,SOUTH
ORD_E6BFDD37,CUST_325EFC7F,2023-06-05 18:03:31,DELIVERED,NORTH
ORD_67FB4546,CUST_868A379E,2024-08-30 21:15:17,RETURNED,EAST
ORD_77A2AA17,CUST_D9246D8E,2023-09-24 00:41:57,CANCELLED,NORTH
