product_id,product_name,category,subcategory,cost_price
PROD_2BE2EF4E,Educational Ultra,Books,Educational,17.23
PROD_41E1F5D1,Lighting Max,Home,Lighting,245.97
PROD_B4A5132C,Decor Basic,Home,Decor,474.36
PROD_D085FE36,  activewear ultra  ,Clothing,Activewear,336.82
PROD_F525B3BD,SHOES MAX   ,Clothing,Shoes,352.86
PROD_982C8038,Fiction Lite,Books,Fiction,16.76
PROD_1CDC9959,  furniture model x  ,Home,Furniture,129.69
PROD_F5B96F5F,Cameras Max,Electronics,Cameras,133.03
PROD_0C5D9117,Comics Lite,Books,Comics,161.62
PROD_97F6522C,FICTION ULTRA   ,Books,Fiction,36.3
PROD_C091153D,Phones Basic,Electronics,Phones,57.54
PROD_BAC2BF4E,Lighting Model X,Home,Lighting,463.71
PROD_9E56B5E0,Comics Max,Books,Comics,239.62
PROD_3AB8BF5E,Women Lite,Clothing,Women,399.75
PROD_2E86E6D4,Decor Basic,Home,Decor,457.51
PROD_46607B60,Furniture Ultra,Home,Furniture,74.98
PROD_143943A2,Phones Ultra,Electronics,Phones,270.89
PROD_FAAD6C28,Accessories Pro,Electronics,Accessories,452.26
PROD_661D179F,Decor Advanced,Home,Decor,426.47
PROD_47AC1F5C,Women Pro,Clothing,Women,418.2
PROD_B56A732D,Men Pro,Clothing,Men,285.81
PROD_7054EE29,Cameras Advanced,Electronics,Cameras,41.21
PROD_3EF05460,Accessories Model X,Electronics,Accessories,292.39
PROD_FCAB237D,Kitchen Pro,Home,Kitchen,121.09
PROD_B1977EB0,Lighting Model X,Home,Lighting,162.3
PROD_EF7DF0D9,Educational Ultra,Books,Educational,348.26
PROD_647D2C1F,Activewear Ultra,Clothing,Activewear,161.58
PROD_69010A60,Non-Fiction Model X,Books,Non-Fiction,393.9
PROD_072FC7A4,Educational Max,Books,Educational,341.39
PROD_5A1D59F4,Bedding Advanced,Home,Bedding,388.51
PROD_3229FC6B,Biography Model X,Books,Biography,305.28
PROD_F4D8134F,Decor Ultra,Home,Decor,368.1
PROD_0B7974B5,Phones Model X,Electronics,Phones,317.66
PROD_3BB716D6,Biography Pro,Books,Biography,278.04
PROD_50C7C528,Non-Fiction Basic,Books,Non-Fiction,446.26
PROD_744672F8,Decor Advanced,Home,Decor,49.82
PROD_FC38DB73,Lighting Model X,Home,Lighting,424.75
PROD_992BC2BE,Activewear Pro,Clothing,Activewear,93.68
PROD_A16F0344,SHOES BASIC   ,Clothing,Shoes,119.72
PROD_B19EC3D0,  kitchen pro  ,Home,Kitchen,454.32
PROD_EE2796B4,Bedding Advanced,Home,Bedding,441.37
PROD_3E6B46E0,Accessories Model X,Electronics,Accessories,263.08
PROD_C0CD1A0A,Kitchen Ultra,Home,Kitchen,91.06
PROD_62CECF50,Educational Ultra,Books,Educational,418.56
PROD_47ADE3F3,Bedding Pro,Home,Bedding,179.68
PROD_5E8A8DAD,Bedding Max,Home,Bedding,304.08
PROD_2CDED6FA,Shoes Pro,Clothing,Shoes,259.7
PROD_CBFAB125,Decor Pro,Home,Decor,184.3
PROD_A7C444DA,Laptops Advanced,Electronics,Laptops,361.53
PROD_981082F5,Comics Advanced,Books,Comics,84.82
PROD_C5843A78,FICTION PRO   ,Books,Fiction,84.76
PROD_302DEC58,  cameras pro  ,Electronics,Cameras,94.12
PROD_1B61CD8F,Biography Ultra,Books,Biography,439.86
PROD_5593F18A,Furniture Pro,Home,Furniture,496.42
PROD_B1A7E50F,Non-Fiction Pro,Books,Non-Fiction,302.42
PROD_ED59CC4A,Activewear Lite,Clothing,Activewear,88.02
PROD_C5FC49B5,Bedding Ultra,Home,Bedding,118.76
PROD_C72F5CD0,NON-FICTION MODEL X   ,Books,Non-Fiction,455.12
PROD_74738B51,  non-fiction ultra  ,Books,Non-Fiction,309.3
PROD_2E12FF0E,Cameras Ultra,Electronics,Cameras,51.13
PROD_31FA51CD,Activewear Ultra,Clothing,Activewear,449.0
PROD_7BEFD902,Biography Advanced,Books,Biography,26.5
PROD_E617206C,Non-Fiction Max,Books,Non-Fiction,385.49
PROD_25B91358,Lighting Max,Home,Lighting,381.96
PROD_784E1FC1,Tablets Pro,Electronics,Tablets,384.1
PROD_D61B97E3,Accessories Ultra,Electronics,Accessories,207.28
PROD_1AC4B117,Men Lite,Clothing,Men,8.52
PROD_A2506FAE,Cameras Model X,Electronics,Cameras,106.68
PROD_11620C88,  bedding basic  ,Home,Bedding,294.76
PROD_64C2FC90,Lighting Advanced,Home,Lighting,307.88
PROD_148836C2,Non-Fiction Advanced,Books,Non-Fiction,280.99
PROD_5CA4596A,Kids Ultra,Clothing,Kids,130.62
PROD_90F90A22,Lighting Basic,Home,Lighting,202.07
PROD_7DA0C31E,Men Lite,Clothing,Men,392.64
PROD_460FA40D,Men Pro,Clothing,Men,394.11
PROD_9778B247,Laptops Advanced,Electronics,Laptops,7.62
PROD_07EEFCF4,Laptops Advanced,Electronics,Laptops,220.51
PROD_ADA122E7,Accessories Pro,Electronics,Accessories,306.47
PROD_2A88DC13,Comics Ultra,Books,Comics,146.8
PROD_E7085F65,Laptops Lite,Electronics,Laptops,10.3
PROD_1F80334D,Decor Model X,Home,Decor,257.72
PROD_E819083C,Activewear Pro,Clothing,Activewear,183.07
PROD_A0A131B2,Laptops Model X,Electronics,Laptops,390.94
PROD_5B57E77E,Bedding Advanced,Home,Bedding,261.28
PROD_EA9B6447,Phones Ultra,Electronics,Phones,415.73
PROD_18558B4C,Kitchen Max,Home,Kitchen,305.15
PROD_45F4512F,Shoes Advanced,Clothing,Shoes,134.25
PROD_2EDE2EF1,Biography Model X,Books,Biography,254.07
PROD_A8B7D69E,Furniture Max,Home,Furniture,132.56
PROD_EF195230,Bedding Advanced,Home,Bedding,386.13
PROD_0D65D6E9,Bedding Lite,Home,Bedding,295.48
PROD_16B3583B,Tablets Model X,Electronics,Tablets,194.42
PROD_5CAC0AD8,Women Max,Clothing,Women,477.95
PROD_6EB0F6A4,Accessories Pro,Electronics,Accessories,202.47
PROD_FF5C8F7A,Furniture Ultra,Home,Furniture,240.89
PROD_AFBA714F,Decor Ultra,Home,Decor,473.82
PROD_1B38A63E,Shoes Lite,Clothing,Shoes,369.04
PROD_39466E16,Decor Pro,Home,Decor,128.6
PROD_4502F9E7,DECOR MAX   ,Home,Decor,339.53
PROD_1822A160,Biography Model X,Books,Biography,273.03
PROD_E02ECD53,Tablets Basic,Electronics,Tablets,248.71
PROD_DFBA64ED,Bedding Pro,Home,Bedding,458.42
PROD_AC943073,Bedding Pro,Home,Bedding,68.48
PROD_457AF5CC,  comics ultra  ,Books,Comics,430.9
PROD_274ABA95,Shoes Model X,Clothing,Shoes,232.73
PROD_EA3013AB,Phones Lite,Electronics,Phones,292.6
PROD_FF4213C4,Kitchen Ultra,Home,Kitchen,97.64
PROD_1DF2BF58,Decor Basic,Home,Decor,308.48
PROD_B1064660,Decor Advanced,Home,Decor,212.45
PROD_8BDBE376,Kitchen Max,Home,Kitchen,228.11
PROD_AFAC1F73,Activewear Lite,Clothing,Activewear,54.44
PROD_5C101039,Decor Ultra,Home,Decor,193.54
PROD_A1FEE53E,Women Advanced,Clothing,Women,92.42
PROD_9F2689D3,Non-Fiction Max,Books,Non-Fiction,269.32
PROD_E7AAD740,Bedding Basic,Home,Bedding,429.96
PROD_7428A4C5,Tablets Model X,Electronics,Tablets,34.72
PROD_5AFC4BCC,Bedding Max,Home,Bedding,227.68
PROD_E607023E,Kitchen Basic,Home,Kitchen,280.96
PROD_7D20A21F,Kitchen Model X,Home,Kitchen,178.79
PROD_A24F2FBC,Activewear Ultra,Clothing,Activewear,271.53
PROD_1092775F,Kitchen Basic,Home,Kitchen,246.31
PROD_2512460F,Fiction Advanced,Books,Fiction,234.56
